Cipher Num	Enc Time	PTest Time	Total Time P	DTest Time	Total Time	
26900.000000	444.819399	984.750740	1429.594504	8.001819	1437.596322	
27000.000000	446.218937	987.811632	1434.054933	8.026433	1442.081367	
27100.000000	447.832037	991.264428	1439.120829	8.052179	1447.173008	
27200.000000	449.270700	994.496400	1443.791464	8.077486	1451.868950	
27300.000000	450.847072	997.793091	1448.664527	8.113242	1456.777769	
27400.000000	452.245671	1000.895671	1453.165707	8.138636	1461.304343	
27500.000000	453.717855	1004.095622	1457.837841	8.163718	1466.001559	
27600.000000	455.158773	1007.175887	1462.359025	8.188644	1470.547669	
27700.000000	456.575332	1010.300580	1466.900276	8.216840	1475.117116	
27800.000000	458.042625	1013.566470	1471.633459	8.243519	1479.876979	
27900.000000	459.464966	1016.645139	1476.134469	8.273236	1484.407705	
28000.000000	460.889312	1019.792357	1480.706033	8.301780	1489.007813	
28100.000000	462.278033	1022.951030	1485.253428	8.328684	1493.582112	
28200.000000	463.854077	1026.296935	1490.175376	8.357468	1498.532844	
28300.000000	465.372818	1029.643613	1495.040796	8.382630	1503.423426	
28400.000000	466.849034	1032.896600	1499.769998	8.409074	1508.179072	
28500.000000	468.260388	1035.966813	1504.251565	8.432635	1512.684200	
28600.000000	469.672456	1039.041990	1508.738810	8.458471	1517.197280	
28700.000000	471.184598	1042.228474	1513.437437	8.484728	1521.922164	
28800.000000	472.582043	1045.335671	1517.942078	8.509182	1526.451260	
28900.000000	473.981991	1048.385868	1522.392223	8.534029	1530.926252	
29000.000000	475.418512	1051.434509	1526.877385	8.558847	1535.436232	
29100.000000	476.833261	1054.522724	1531.380350	8.582760	1539.963110	
29200.000000	478.238306	1057.660843	1535.923514	8.606394	1544.529908	
29300.000000	479.670700	1060.812309	1540.507373	8.631397	1549.138770	
29400.000000	481.252024	1064.378517	1545.654906	8.658237	1554.313143	
29500.000000	482.695354	1067.451858	1550.171576	8.685340	1558.856916	
29600.000000	484.097792	1070.542837	1554.664993	8.709877	1563.374870	
29700.000000	485.501098	1073.639972	1559.165434	8.735540	1567.900974	
29800.000000	486.934143	1076.768780	1563.727288	8.759367	1572.486655	
29900.000000	488.318415	1079.847786	1568.190566	8.785280	1576.975846	
30000.000000	489.723340	1082.984132	1572.731836	8.811582	1581.543418	
30100.000000	491.142628	1086.055029	1577.222022	8.834825	1586.056846	
30200.000000	492.532328	1089.075631	1581.632324	8.859846	1590.492170	
30300.000000	493.940958	1092.193088	1586.158410	8.885154	1595.043565	
30400.000000	495.336537	1095.244817	1590.605718	8.909527	1599.515245	
30500.000000	497.093571	1099.108050	1596.225985	8.939272	1605.165257	
30600.000000	498.513494	1102.188735	1600.726593	8.962904	1609.689497	
30700.000000	499.920848	1105.276271	1605.221483	8.987402	1614.208885	
30800.000000	501.423532	1108.498844	1609.946741	9.013957	1618.960698	
30900.000000	502.843544	1111.579776	1614.447684	9.038321	1623.486005	
31000.000000	504.273093	1114.646411	1618.943868	9.063565	1628.007433	
31100.000000	505.711214	1117.777355	1623.512933	9.087320	1632.600254	
31200.000000	507.351141	1121.486527	1628.862032	9.117430	1637.979462	
31300.000000	509.642617	1126.295789	1635.962770	9.152950	1645.115720	
31400.000000	511.214485	1129.739232	1640.978081	9.179387	1650.157469	
31500.000000	512.833922	1133.289048	1646.147335	9.206064	1655.353398	
31600.000000	514.410182	1136.661130	1651.095676	9.234457	1660.330134	
31700.000000	516.278086	1140.681725	1656.984175	9.265891	1666.250066	
31800.000000	517.833885	1144.068050	1661.926299	9.294137	1671.220437	
31900.000000	519.318647	1147.409771	1666.752782	9.323346	1676.076128	
32000.000000	520.766099	1150.547558	1671.338021	9.348779	1680.686800	
32100.000000	522.196107	1153.653471	1675.873943	9.373974	1685.247917	
32200.000000	523.608755	1156.760978	1680.394097	9.397505	1689.791602	
32300.000000	525.010161	1159.819818	1684.854343	9.421045	1694.275388	
32400.000000	526.421212	1162.926439	1689.372016	9.445127	1698.817143	
32500.000000	527.820395	1166.091097	1693.935856	9.469846	1703.405702	
32600.000000	529.358807	1169.570891	1698.954062	9.496553	1708.450614	
32700.000000	530.871723	1172.903885	1703.799973	9.524323	1713.324296	
32800.000000	532.278903	1175.966261	1708.269529	9.548094	1717.817623	
32900.000000	533.686793	1179.027987	1712.739144	9.571649	1722.310792	
33000.000000	535.129809	1182.134210	1717.288384	9.596690	1726.885074	
33100.000000	536.543968	1185.235318	1721.803651	9.624246	1731.427896	
33200.000000	538.120454	1188.537102	1726.681921	9.652455	1736.334375	
33300.000000	539.637667	1192.090412	1731.752443	9.681652	1741.434094	
33400.000000	541.032799	1195.155429	1736.212592	9.705565	1745.918157	
33500.000000	542.403738	1198.170688	1740.598791	9.731115	1750.329906	
33600.000000	543.795375	1201.245552	1745.065290	9.754819	1754.820110	
33700.000000	545.338589	1204.613389	1749.976342	9.782650	1759.758992	
33800.000000	546.727129	1207.663507	1754.414999	9.806611	1764.221611	
33900.000000	548.142000	1210.827956	1758.994320	9.830576	1768.824896	
34000.000000	549.531790	1213.850595	1763.406749	9.854141	1773.260890	
34100.000000	550.936965	1216.869818	1767.831148	9.877233	1777.708381	
34200.000000	552.308702	1219.862855	1772.195922	9.901759	1782.097681	
34300.000000	553.740291	1223.042118	1776.806773	9.926814	1786.733587	
