C Num	Enc Time	Test Time	Dec Time	
21900.000000	278.605381	2892.771435	152.069262	
22000.000000	280.020825	2907.465296	152.842515	
22100.000000	281.310608	2920.845447	153.533455	
22200.000000	282.631207	2934.535074	154.238997	
22300.000000	283.829063	2946.949944	154.891125	
22400.000000	285.039534	2959.504752	155.549637	
22500.000000	286.222057	2971.795831	156.186559	
22600.000000	287.536269	2985.463715	156.898648	
22700.000000	288.855427	2999.178452	157.623436	
22800.000000	290.033521	3011.391129	158.261499	
22900.000000	291.216379	3023.643451	158.901561	
23000.000000	292.393371	3035.843434	159.525618	
23100.000000	293.701494	3049.417396	160.232441	
23200.000000	295.079776	3063.723283	160.993820	
23300.000000	296.262767	3075.972333	161.631379	
23400.000000	297.505825	3088.865590	162.300308	
23500.000000	298.779419	3102.089028	162.994313	
23600.000000	300.065890	3115.449839	163.698960	
23700.000000	301.405287	3129.391742	164.433487	
23800.000000	302.638459	3142.181330	165.094309	
23900.000000	303.954105	3155.831370	165.817258	
24000.000000	305.321237	3170.029531	166.580400	
24100.000000	306.582292	3183.124981	167.278470	
24200.000000	307.958577	3197.403283	167.988169	
24300.000000	309.236343	3210.685921	168.686556	
24400.000000	310.496387	3223.758011	169.367013	
24500.000000	311.806223	3237.464013	170.094153	
24600.000000	313.057445	3250.437984	170.768153	
24700.000000	314.384694	3264.209728	171.486822	
24800.000000	315.608971	3276.921711	172.148118	
24900.000000	316.787821	3289.156680	172.788494	
25000.000000	318.035011	3302.108483	173.464274	
25100.000000	319.239756	3314.608212	174.132280	
25200.000000	320.577150	3328.501430	174.880696	
25300.000000	321.788717	3341.063390	175.550661	
25400.000000	322.973721	3353.350272	176.197104	
25500.000000	324.178578	3365.857663	176.867208	
25600.000000	325.412244	3378.661675	177.527857	
25700.000000	326.733251	3392.407498	178.249173	
25800.000000	328.005289	3405.602160	178.925389	
25900.000000	329.268562	3418.717718	179.591641	
26000.000000	330.434395	3430.807796	180.226105	
26100.000000	331.728807	3444.238234	180.928841	
26200.000000	333.006449	3457.521343	181.623827	
26300.000000	334.260559	3470.513806	182.289685	
26400.000000	335.449680	3482.834053	182.930828	
26500.000000	336.644408	3495.252929	183.588256	
26600.000000	337.955599	3508.837299	184.266392	
26700.000000	339.200770	3521.750073	184.939895	
26800.000000	340.572546	3536.010561	185.678959	
26900.000000	341.743636	3548.156877	186.319156	
27000.000000	342.958939	3560.780525	186.979032	
27100.000000	344.194820	3573.621716	187.652752	
27200.000000	345.428225	3586.427684	188.337577	
27300.000000	346.685332	3599.460077	189.017937	
27400.000000	347.906566	3612.127590	189.679845	
27500.000000	349.074510	3624.233317	190.304371	
27600.000000	350.358501	3637.573853	191.004875	
27700.000000	351.595056	3650.390959	191.675873	
27800.000000	352.909796	3664.212928	192.404154	
27900.000000	354.177628	3677.341166	193.067077	
28000.000000	355.342268	3689.408650	193.687806	
28100.000000	356.622406	3702.695103	194.400978	
28200.000000	358.010486	3717.166681	195.179472	
28300.000000	359.411733	3731.757426	195.905111	
28400.000000	360.618689	3744.266920	196.568621	
28500.000000	361.979862	3758.414526	197.326508	
28600.000000	363.288255	3771.989675	198.048474	
28700.000000	364.572014	3785.328193	198.756171	
28800.000000	365.870900	3798.787565	199.455756	
28900.000000	367.096316	3811.486320	200.108438	
29000.000000	368.290419	3823.904343	200.769306	
29100.000000	369.625213	3837.759085	201.467862	
29200.000000	370.826745	3850.213666	202.116478	
29300.000000	372.191734	3864.370446	202.862982	
29400.000000	373.396061	3876.886120	203.548537	
29500.000000	374.602962	3889.408526	204.191558	
29600.000000	375.918308	3903.063407	204.918044	
29700.000000	377.156439	3915.920448	205.589522	
29800.000000	378.644414	3931.329474	206.427669	
29900.000000	380.287456	3948.388262	207.294809	
30000.000000	381.844569	3964.516993	208.195184	
30100.000000	383.522348	3981.972818	209.108365	
30200.000000	385.115248	3998.546405	209.999836	
30300.000000	386.493363	4012.880774	210.738869	
30400.000000	387.875254	4027.285752	211.524472	
30500.000000	389.172262	4040.725384	212.229558	
30600.000000	390.416878	4053.667803	212.915414	
30700.000000	392.201623	4072.128172	213.894889	
30800.000000	393.617564	4086.937227	214.679678	
30900.000000	394.896603	4100.207496	215.383233	
31000.000000	396.079504	4112.468486	216.007180	
31100.000000	397.394717	4126.097922	216.736392	
31200.000000	398.772093	4140.394969	217.505042	
31300.000000	400.015108	4153.300157	218.182255	
31400.000000	401.219540	4165.778818	218.823558	
31500.000000	402.505342	4179.146128	219.522855	
31600.000000	403.851935	4193.140860	220.249842	
31700.000000	405.050047	4205.586410	220.895814	
31800.000000	406.214143	4217.667956	221.517774	
31900.000000	407.380164	4229.775991	222.156345	
32000.000000	408.500786	4241.402211	222.770569	
32100.000000	409.719788	4254.053030	223.441680	
32200.000000	410.931896	4266.622610	224.109329	
32300.000000	412.090048	4278.623719	224.744273	
32400.000000	413.321098	4291.378317	225.409443	
32500.000000	414.550742	4304.149375	226.095313	
32600.000000	415.739135	4316.485271	226.745555	
32700.000000	416.886058	4328.373632	227.376682	
32800.000000	418.042799	4340.372462	228.009139	
32900.000000	419.351524	4353.966041	228.725168	
33000.000000	420.696256	4367.925782	229.481067	
33100.000000	421.866665	4380.071688	230.115222	
33200.000000	423.050790	4392.363687	230.764432	
33300.000000	424.197375	4404.252558	231.385819	
33400.000000	425.476315	4417.538967	232.067544	
33500.000000	426.791625	4431.206789	232.799599	
33600.000000	427.989692	4443.642297	233.463085	
33700.000000	429.144001	4455.618305	234.098597	
33800.000000	430.301842	4467.631125	234.740101	
33900.000000	431.465873	4479.701824	235.372656	
34000.000000	432.865679	4494.262347	236.147565	
34100.000000	434.126550	4507.347054	236.833633	
34200.000000	435.316143	4519.685345	237.470089	
34300.000000	436.505066	4532.041912	238.123371	
34400.000000	437.782844	4545.284486	238.809608	
34500.000000	439.005930	4557.967029	239.469437	
34600.000000	440.279125	4571.195245	240.165862	
34700.000000	441.451038	4583.370171	240.813807	
34800.000000	442.606678	4595.338821	241.438500	
34900.000000	443.831302	4608.057861	242.099952	
35000.000000	445.106776	4621.307650	242.790326	
35100.000000	446.417910	4634.935703	243.510881	
35200.000000	447.605078	4647.256012	244.162105	
35300.000000	448.774829	4659.386854	244.791747	
35400.000000	449.942891	4671.503811	245.423501	
35500.000000	451.220980	4684.772940	246.121109	
35600.000000	452.581358	4698.907280	246.874528	
35700.000000	453.853859	4712.151446	247.574704	
35800.000000	455.037641	4724.441504	248.216403	
35900.000000	456.213536	4736.625066	248.848975	
36000.000000	457.488930	4749.881444	249.559793	
36100.000000	458.763755	4763.105774	250.251097	
36200.000000	459.945971	4775.372276	250.885242	
36300.000000	461.131330	4787.692842	251.550373	
36400.000000	462.279755	4799.606633	252.175986	
